"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E246","E246","99","Plate Infeed Conveyor Diverter","Both Reedswitch Present","E246 Plate Infeed Conveyor Diverter Both Reedswitch Present","500","true","FB_PV01","Offline","[Offline]FB_PV01","FB_PV01.Alarm.E246","Mapped"
"ALM_E247","E247","100","Plate Infeed Conveyor Diverter","Both Reedswitch Absent","E247 Plate Infeed Conveyor Diverter Both Reedswitch Absent","500","true","FB_PV01","Offline","[Offline]FB_PV01","FB_PV01.Alarm.E247","Mapped"
"ALM_E248","E248","101","Plate Infeed Conveyor Diverter","Position 01 Reedswitch Absent","E248 Plate Infeed Conveyor Diverter Position 01 Reedswitch Absent","500","true","FB_PV01","Offline","[Offline]FB_PV01","FB_PV01.Alarm.E248","Mapped"
"ALM_E249","E249","102","Plate Infeed Conveyor Diverter","Position 02 Reedswitch Absent","E249 Plate Infeed Conveyor Diverter Position 02 Reedswitch Absent","500","true","FB_PV01","Offline","[Offline]FB_PV01","FB_PV01.Alarm.E249","Mapped"
"ALM_E250","E250","103","Linear Feeder 01 Exit Stopper","Both Reedswitch Present","E250 Linear Feeder 01 Exit Stopper Both Reedswitch Present","500","true","FB_PV02","Offline","[Offline]FB_PV02","FB_PV02.Alarm.E250","Mapped"
"ALM_E251","E251","104","Linear Feeder 01 Exit Stopper","Both Reedswitch Absent","E251 Linear Feeder 01 Exit Stopper Both Reedswitch Absent","500","true","FB_PV02","Offline","[Offline]FB_PV02","FB_PV02.Alarm.E251","Mapped"
"ALM_E252","E252","105","Linear Feeder 01 Exit Stopper","Open Reedswitch Absent","E252 Linear Feeder 01 Exit Stopper Open Reedswitch Absent","500","true","FB_PV02","Offline","[Offline]FB_PV02","FB_PV02.Alarm.E252","Mapped"
"ALM_E253","E253","106","Linear Feeder 01 Exit Stopper","Close Reedswitch Absent","E253 Linear Feeder 01 Exit Stopper Close Reedswitch Absent","500","true","FB_PV02","Offline","[Offline]FB_PV02","FB_PV02.Alarm.E253","Mapped"
"ALM_E254","E254","107","Linear Feeder 02 Exit Stopper","Both Reedswitch Present","E254 Linear Feeder 02 Exit Stopper Both Reedswitch Present","500","true","FB_PV03","Offline","[Offline]FB_PV03","FB_PV03.Alarm.E254","Mapped"
"ALM_E255","E255","108","Linear Feeder 02 Exit Stopper","Both Reedswitch Absent","E255 Linear Feeder 02 Exit Stopper Both Reedswitch Absent","500","true","FB_PV03","Offline","[Offline]FB_PV03","FB_PV03.Alarm.E255","Mapped"
"ALM_E256","E256","109","Linear Feeder 02 Exit Stopper","Open Reedswitch Absent","E256 Linear Feeder 02 Exit Stopper Open Reedswitch Absent","500","true","FB_PV03","Offline","[Offline]FB_PV03","FB_PV03.Alarm.E256","Mapped"
"ALM_E257","E257","110","Linear Feeder 02 Exit Stopper","Close Reedswitch Absent","E257 Linear Feeder 02 Exit Stopper Close Reedswitch Absent","500","true","FB_PV03","Offline","[Offline]FB_PV03","FB_PV03.Alarm.E257","Mapped"
"ALM_E258","E258","111","Plate Handling ROBOT 01 Gripper","Both Reedswitch Present","E258 Plate Handling ROBOT 01 Gripper Both Reedswitch Present","500","true","FB_PV04","Offline","[Offline]FB_PV04","FB_PV04.Alarm.E258","Mapped"
"ALM_E259","E259","112","Plate Handling ROBOT 01 Gripper","Both Reedswitch Absent","E259 Plate Handling ROBOT 01 Gripper Both Reedswitch Absent","500","true","FB_PV04","Offline","[Offline]FB_PV04","FB_PV04.Alarm.E259","Mapped"
"ALM_E260","E260","113","Plate Handling ROBOT 01 Gripper","Forward Reedswitch Absent","E260 Plate Handling ROBOT 01 Gripper Forward Reedswitch Absent","500","true","FB_PV04","Offline","[Offline]FB_PV04","FB_PV04.Alarm.E260","Mapped"
"ALM_E261","E261","114","Plate Handling ROBOT 01 Gripper","Reverse Reedswitch Absent","E261 Plate Handling ROBOT 01 Gripper Reverse Reedswitch Absent","500","true","FB_PV04","Offline","[Offline]FB_PV04","FB_PV04.Alarm.E261","Mapped"
"ALM_E262","E262","115","Tray 01 Side Guide","Both Reedswitch Present","E262 Tray 01 Side Guide Both Reedswitch Present","500","true","FB_PV05","Offline","[Offline]FB_PV05","FB_PV05.Alarm.E262","Mapped"
"ALM_E263","E263","116","Tray 01 Side Guide","Both Reedswitch Absent","E263 Tray 01 Side Guide Both Reedswitch Absent","500","true","FB_PV05","Offline","[Offline]FB_PV05","FB_PV05.Alarm.E263","Mapped"
"ALM_E264","E264","117","Tray 01 Side Guide","Forward Reedswitch Absent","E264 Tray 01 Side Guide Forward Reedswitch Absent","500","true","FB_PV05","Offline","[Offline]FB_PV05","FB_PV05.Alarm.E264","Mapped"
"ALM_E265","E265","118","Tray 01 Side Guide","Reverse Reedswitch Absent","E265 Tray 01 Side Guide Reverse Reedswitch Absent","500","true","FB_PV05","Offline","[Offline]FB_PV05","FB_PV05.Alarm.E265","Mapped"
"ALM_E266","E266","119","Tray 01 Front Guide","Both Reedswitch Present","E266 Tray 01 Front Guide Both Reedswitch Present","500","true","FB_PV06","Offline","[Offline]FB_PV06","FB_PV06.Alarm.E266","Mapped"
"ALM_E267","E267","120","Tray 01 Front Guide","Both Reedswitch Absent","E267 Tray 01 Front Guide Both Reedswitch Absent","500","true","FB_PV06","Offline","[Offline]FB_PV06","FB_PV06.Alarm.E267","Mapped"
"ALM_E268","E268","121","Tray 01 Front Guide","Up Reedswitch Absent","E268 Tray 01 Front Guide Up Reedswitch Absent","500","true","FB_PV06","Offline","[Offline]FB_PV06","FB_PV06.Alarm.E268","Mapped"
"ALM_E269","E269","122","Tray 01 Front Guide","Down Reedswitch Absent","E269 Tray 01 Front Guide Down Reedswitch Absent","500","true","FB_PV06","Offline","[Offline]FB_PV06","FB_PV06.Alarm.E269","Mapped"
"ALM_E270","E270","123","Tray 01 Stopper 01","Both Reedswitch Present","E270 Tray 01 Stopper 01 Both Reedswitch Present","500","true","","","","","Unmapped"
"ALM_E271","E271","124","Tray 01 Stopper 01","Both Reedswitch Absent","E271 Tray 01 Stopper 01 Both Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E272","E272","125","Tray 01 Stopper 01","Up Reedswitch Absent","E272 Tray 01 Stopper 01 Up Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E273","E273","126","Tray 01 Stopper 01","Down Reedswitch Absent","E273 Tray 01 Stopper 01 Down Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E274","E274","127","Tray 01 Stopper 02","Both Reedswitch Present","E274 Tray 01 Stopper 02 Both Reedswitch Present","500","true","","","","","Unmapped"
"ALM_E275","E275","128","Tray 01 Stopper 02","Both Reedswitch Absent","E275 Tray 01 Stopper 02 Both Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E276","E276","129","Tray 01 Stopper 02","Up Reedswitch Absent","E276 Tray 01 Stopper 02 Up Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E277","E277","130","Tray 01 Stopper 02","Down Reedswitch Absent","E277 Tray 01 Stopper 02 Down Reedswitch Absent","500","true","","","","","Unmapped"
"ALM_E278","E278","131","Tray 01 Pusher UP FB","Both Reedswitch Present","E278 Tray 01 Pusher UP FB Both Reedswitch Present","500","true","FB_PV08","Offline","[Offline]FB_PV08","FB_PV08.Alarm.E278","Mapped"
"ALM_E279","E279","132","Tray 01 Pusher UP FB","Both Reedswitch Absent","E279 Tray 01 Pusher UP FB Both Reedswitch Absent","500","true","FB_PV08","Offline","[Offline]FB_PV08","FB_PV08.Alarm.E279","Mapped"
"ALM_E280","E280","133","Tray 01 Pusher UP FB","Open Reedswitch Absent","E280 Tray 01 Pusher UP FB Open Reedswitch Absent","500","true","FB_PV08","Offline","[Offline]FB_PV08","FB_PV08.Alarm.E280","Mapped"
"ALM_E281","E281","134","Tray 01 Pusher UP FB","Close Reedswitch Absent","E281 Tray 01 Pusher UP FB Close Reedswitch Absent","500","true","FB_PV08","Offline","[Offline]FB_PV08","FB_PV08.Alarm.E281","Mapped"
"ALM_E282","E282","135","Plate Handling ROBOT 02 Gripper","Both Reedswitch Present","E282 Plate Handling ROBOT 02 Gripper Both Reedswitch Present","500","true","FB_PV09","Offline","[Offline]FB_PV09","FB_PV09.Alarm.E282","Mapped"
"ALM_E283","E283","136","Plate Handling ROBOT 02 Gripper","Both Reedswitch Absent","E283 Plate Handling ROBOT 02 Gripper Both Reedswitch Absent","500","true","FB_PV09","Offline","[Offline]FB_PV09","FB_PV09.Alarm.E283","Mapped"
"ALM_E284","E284","137","Plate Handling ROBOT 02 Gripper","Open Reedswitch Absent","E284 Plate Handling ROBOT 02 Gripper Open Reedswitch Absent","500","true","FB_PV09","Offline","[Offline]FB_PV09","FB_PV09.Alarm.E284","Mapped"
"ALM_E285","E285","138","Plate Handling ROBOT 02 Gripper","Close Reedswitch Absent","E285 Plate Handling ROBOT 02 Gripper Close Reedswitch Absent","500","true","FB_PV09","Offline","[Offline]FB_PV09","FB_PV09.Alarm.E285","Mapped"
"ALM_E286","E286","139","Tray 02 Side Guide","Both Reedswitch Present","E286 Tray 02 Side Guide Both Reedswitch Present","500","true","FB_PV10","Offline","[Offline]FB_PV10","FB_PV10.Alarm.E286","Mapped"
"ALM_E287","E287","140","Tray 02 Side Guide","Both Reedswitch Absent","E287 Tray 02 Side Guide Both Reedswitch Absent","500","true","FB_PV10","Offline","[Offline]FB_PV10","FB_PV10.Alarm.E287","Mapped"
"ALM_E288","E288","141","Tray 02 Side Guide","Forward Reedswitch Absent","E288 Tray 02 Side Guide Forward Reedswitch Absent","500","true","FB_PV10","Offline","[Offline]FB_PV10","FB_PV10.Alarm.E288","Mapped"
"ALM_E289","E289","142","Tray 02 Side Guide","Reverse Reedswitch Absent","E289 Tray 02 Side Guide Reverse Reedswitch Absent","500","true","FB_PV10","Offline","[Offline]FB_PV10","FB_PV10.Alarm.E289","Mapped"
